pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgement
291	Varios niños están sentados y tienen las rodillas levantadas .	Varios niños están acostados y levantan las rodillas .	4.0	NEUTRAL
293	Dos niñas están sentadas en el suelo	Dos chicas están sentadas en el suelo	4.4	ENTAILMENT
296	Dos chicas yacen en el suelo	Varios niños están sentados y tienen las rodillas levantadas .	2.8	NEUTRAL
301	Una dama desnuda camina frente a una multitud con pintura corporal	No hay ninguna dama caminando con pintura corporal frente a una multitud	2.9	CONTRADICTION
302	Una dama desnuda camina frente a una multitud con pintura corporal	Una multitud desnuda con pintura corporal camina frente a una dama	3.1	NEUTRAL
303	Una mujer joven en topless está cubierta de pintura	Una chica en topless está cubierta de pintura .	4.4	ENTAILMENT
305	Una dama desnuda camina frente a una multitud con pintura corporal	Una chica en topless está cubierta de pintura .	3.8	ENTAILMENT
309	Una multitud desnuda con pintura corporal camina frente a una dama	Una mujer joven en topless está cubierta de pintura	3.0	NEUTRAL
310	Una dama desnuda camina frente a una multitud con pintura corporal	Una mujer joven en topless está cubierta de pintura	4.2	NEUTRAL
311	Un grupo de personas está cerca del océano .	Una multitud de personas está cerca del agua .	4.3	ENTAILMENT
312	Una multitud de personas está cerca del agua .	Una multitud de personas está lejos del agua .	3.8	CONTRADICTION
313	Un grupo de niños uniformados está parado en una puerta y uno está besando a la madre .	Un grupo de niños con la misma ropa está esperando en una puerta y uno está besando a la madre .	4.5	ENTAILMENT
315	Un grupo de madres en uniforme está parado cerca de los niños y una está besando la puerta .	Un grupo de niños uniformados está parado en una puerta y uno está besando a la madre .	3.3	NEUTRAL
323	Un hombre está en un estacionamiento y está jugando al tenis contra una pared grande	Un hombre está en un estacionamiento y está jugando al tenis contra un amigo	3.9	NEUTRAL
327	Un hombre está en un estacionamiento y está jugando al tenis contra una pared grande	No hay ningún hombre apuntando a un auto	1.5	NEUTRAL
329	Un hombre está en un estacionamiento y está jugando al tenis contra un amigo	Un hombre apunta a un sedán plateado	1.3	NEUTRAL
331	Un grupo de personas está en una playa .	Un grupo de personas está cerca del mar .	4.0	ENTAILMENT
332	Un grupo de personas está en una playa .	Un grupo de personas está en una montaña .	2.6	NEUTRAL
333	Un hombre , una mujer y dos niñas caminan por la playa .	Cuatro personas caminan por la playa .	4.5	ENTAILMENT
335	Un grupo de personas está en una playa .	Cuatro personas caminan por la playa .	4.6	NEUTRAL
338	Un hombre , una mujer y dos niñas caminan por la playa .	Un grupo de personas está en una montaña .	1.4	NEUTRAL
339	Un hombre , una mujer y dos niñas caminan por la playa .	Un grupo de personas está en una playa .	4.3	ENTAILMENT
340	Una colegiala con un bolso negro está en un tren lleno de gente	Una chica con una bolsa negra está en un tren lleno de gente .	4.7	ENTAILMENT
341	No hay chica con una bolsa negra en un tren lleno de gente	Una chica con una bolsa negra está en un tren lleno de gente .	3.7	CONTRADICTION
342	Una chica con una bolsa negra está en un tren lleno de gente .	Un tren negro estrecho está en la bolsa de una niña	2.7	NEUTRAL
344	Una mujer asiática en una multitud no lleva una bolsa negra	Una mujer asiática en una multitud lleva una bolsa negra	3.8	NEUTRAL
346	Una chica con una bolsa negra está en un tren lleno de gente .	Una mujer asiática en una multitud no lleva una bolsa negra	2.5	NEUTRAL
347	Una colegiala con un bolso negro está en un tren lleno de gente	Una mujer asiática en una multitud lleva una bolsa negra	2.8	NEUTRAL
351	Un perro persigue a otro y tiene un palo en la boca .	Un perro persigue a otro y tiene un trozo de madera en la boca .	4.6	ENTAILMENT
354	Dos perros corren y llevan un juguete en la boca .	Dos perros corren y llevan un objeto en la boca .	4.3	ENTAILMENT
358	Un perro persigue a otro y tiene un trozo de madera en la boca .	Dos perros corren y llevan un objeto en la boca .	3.9	NEUTRAL
360	Dos perros corren y llevan un objeto en la boca .	Un perro persigue un palo y sostiene a otro perro en la boca .	3.2	NEUTRAL
361	Un perro persigue a otro y tiene un palo en la boca .	Dos perros corren y llevan un objeto en la boca .	4.0	ENTAILMENT
362	Una pelota de fútbol sucia está rodando hacia una portería	Una pelota de fútbol está rodando hacia una portería .	4.5	ENTAILMENT
363	Una pelota de fútbol no está rodando hacia la red de la portería .	Una pelota de fútbol está rodando hacia una portería .	3.4	CONTRADICTION
366	Una persona que juega fútbol patea una pelota hacia la portería .	Una pelota de fútbol está rodando hacia una portería .	4.1	NEUTRAL
367	Una pelota de fútbol está rodando hacia una portería .	Un jugador de fútbol patea una pelota fuera de la portería .	3.2	NEUTRAL
370	Una pelota de fútbol está rodando hacia una portería .	Un jugador de fútbol está pateando una pelota hacia la portería .	4.3	NEUTRAL
372	Un hombre está sentado en una silla y se frota los ojos .	No hay ningún hombre sentado en una silla frotándose los ojos	3.8	CONTRADICTION
373	Un hombre con tatuajes está descansando en un sofá y sosteniendo un lápiz	Un hombre tatuado está en un sofá y sostiene un lápiz	4.4	ENTAILMENT
374	Un hombre con tatuajes está descansando en un sofá y sosteniendo un lápiz	Un hombre con tatuajes descansa en un sofá y busca un lápiz .	2.9	NEUTRAL
375	Un hombre con tatuajes sostiene un sofá con un lápiz	Un hombre con tatuajes está descansando en un sofá y sosteniendo un lápiz	2.6	NEUTRAL
377	Un hombre está sentado en una silla y se frota los ojos .	Un hombre con tatuajes descansa en un sofá y busca un lápiz .	2.1	NEUTRAL
378	Un hombre con tatuajes sostiene un sofá con un lápiz	Un hombre está sentado en una silla y se frota los ojos .	2.0	NEUTRAL
379	Un hombre descansa en una silla y se frota los ojos .	Un hombre con tatuajes está descansando en un sofá y sosteniendo un lápiz	2.5	NEUTRAL
380	Un hombre con tatuajes está descansando en un sofá y sosteniendo un lápiz	No hay ningún hombre sentado en una silla frotándose los ojos	1.6	NEUTRAL
381	Un hombre con tatuajes está descansando en un sofá y sosteniendo un lápiz	Un hombre está sentado en una silla y se frota los ojos .	2.4	NEUTRAL
387	Un perro marrón y blanco corre por la hierba alta	Un perro negro y fuego corre por la hierba baja y verde	3.8	NEUTRAL
390	Un perro blanco y fuego corre por la hierba alta y verde	Un perro marrón y blanco corre por la hierba alta	4.6	ENTAILMENT
391	Un hombre con ropa cubierta de pintura está sentado afuera en una zona concurrida escribiendo algo	Un hombre lleva ropa cubierta con pintura y está sentado afuera en un área concurrida escribiendo algo	4.8	ENTAILMENT
392	No hay ningún hombre con ropa cubierta con pintura o sentado afuera en un área concurrida escribiendo algo	Un hombre lleva ropa cubierta con pintura y está sentado afuera en un área concurrida escribiendo algo	4.1	CONTRADICTION
393	Un hombre sentado está ocupado escribiendo algo en un área cubierta por pintura	Un hombre lleva ropa cubierta con pintura y está sentado afuera en un área concurrida escribiendo algo	3.7	NEUTRAL
395	Un hombre está sentado cerca de una bicicleta y está escribiendo una nota .	No hay ningún hombre escribiendo una nota cerca de una bicicleta .	4.2	CONTRADICTION
396	Un hombre lleva ropa cubierta con pintura y está sentado afuera en un área concurrida escribiendo algo	Un hombre está parado cerca de una bicicleta y está escribiendo en un papel	2.6	NEUTRAL
397	No hay ningún hombre escribiendo una nota cerca de una bicicleta .	Un hombre lleva ropa cubierta con pintura y está sentado afuera en un área concurrida escribiendo algo	2.7	NEUTRAL
398	Un hombre está sentado cerca de una bicicleta y está escribiendo una nota .	Un hombre con ropa cubierta de pintura está sentado afuera en una zona concurrida escribiendo algo	3.1	NEUTRAL
403	Un grupo de exploradores está acampando en la hierba .	Un grupo de exploradores camina por la hierba .	3.5	NEUTRAL
404	Algunas personas estan caminando	La gente esta caminando	4.7	ENTAILMENT
409	Algunas personas estan caminando	Un grupo de exploradores está acampando en la hierba .	1.5	NEUTRAL
410	Un grupo de exploradores camina por la hierba .	Algunas personas estan caminando	3.2	ENTAILMENT
413	Dos hombres se toman un descanso de un viaje por una carretera nevada	Dos hombres entran en un automóvil durante un viaje por una carretera nevada	3.0	NEUTRAL
415	Dos hombres con bicicletas están al lado de una carretera nevada	Dos hombres con autos están al costado de una carretera nevada .	3.5	NEUTRAL
422	Dos hombres sostienen cañas de pescar y aparejos de pesca	Dos hombres sostienen cañas de pescar	4.3	ENTAILMENT
423	Dos hombres no sostienen cañas de pescar	Dos hombres sostienen cañas de pescar	3.2	CONTRADICTION
427	Dos hombres sostienen cañas de pescar	Dos hombres están parados cerca del agua y sostienen herramientas utilizadas para pescar	4.3	NEUTRAL
428	No hay ningún hombre parado cerca del agua sosteniendo cañas de pescar .	Dos hombres sostienen cañas de pescar	3.2	NEUTRAL
434	La chica del casco anda en bicicleta .	La chica del casco se encarama en una bicicleta	4.2	NEUTRAL
435	Una mujer está realizando un truco en una rampa con una bicicleta .	Una mujer está saltando con una bicicleta .	4.3	NEUTRAL
436	Una mujer está realizando un truco en una rampa con una bicicleta .	Una mujer está realizando un truco en una rampa con un coche .	2.4	NEUTRAL
438	La chica del casco se encarama en una bicicleta	Una mujer está realizando un truco en una rampa con un coche .	1.9	NEUTRAL
439	La niña con un casco se encarama en una bicicleta	Una mujer está realizando un truco en una rampa con una bicicleta .	2.9	NEUTRAL
440	La chica del casco anda en bicicleta .	Una mujer está realizando un truco en una rampa con una bicicleta .	3.7	NEUTRAL
441	Una mujer está realizando un truco en una rampa con una bicicleta .	La chica del casco se encarama en una bicicleta	3.3	NEUTRAL
442	Una chica rubia está surfeando	Una chica rubia cabalga las olas	4.7	ENTAILMENT
446	Una dama está surfeando y montando una ola .	Un niño está surfeando y montando una ola .	3.5	NEUTRAL
447	Una mujer está surfeando	Una chica rubia cabalga las olas	4.0	NEUTRAL
449	Una dama está surfeando y montando una ola .	Una chica rubia está surfeando	3.6	NEUTRAL
451	Una chica rubia saluda mientras cabalga	Una dama está surfeando y montando una ola .	2.3	NEUTRAL
454	Dos niños y un adulto están parados junto a la rama de un árbol .	Dos niños y un adulto no están parados junto a la rama de un árbol .	3.6	CONTRADICTION
457	Dos niños y un adulto están parados junto a la rama de un árbol .	Dos niños están trepando a un árbol .	3.0	NEUTRAL
461	Dos niños y un adulto están parados junto a la rama de un árbol .	Dos niños cuelgan de una rama grande .	2.7	NEUTRAL
462	Un hombre vestido de negro está montando una bicicleta .	Un hombre está realizando un truco en una bicicleta .	3.5	NEUTRAL
465	Un hombre realiza acrobacias en una bicicleta verde	Un hombre está realizando un truco en una bicicleta verde	4.7	ENTAILMENT
470	No hay hombre vestido de negro y andar en bicicleta verde	Un hombre está realizando un truco en una bicicleta verde	3.4	NEUTRAL
473	Un niño sostiene una pistola de agua .	Un niño sostiene una pistola de agua .	4.5	ENTAILMENT
475	Un niño que ríe sostiene una pistola de agua y se rocía con agua	Un niño con una pistola que rocía agua se ríe y es golpeado por otros niños .	4.0	NEUTRAL
476	No hay ningún niño sosteniendo una pistola de agua o siendo rociado con agua	Un niño que ríe sostiene una pistola de agua y se rocía con agua	4.0	CONTRADICTION
477	Un niño con una pistola que rocía agua se ríe y es golpeado por otros niños .	Un niño sostiene una pistola de agua .	3.9	ENTAILMENT
484	Dos daschunds están jugando con una bola roja .	Dos perros juegan con una pequeña bola roja .	4.2	NEUTRAL
485	Dos gatos están jugando con una bola roja .	Dos daschunds están jugando con una bola roja .	3.3	NEUTRAL
486	Dos perros marrones pelean por una bola roja y juegan en la hierba	Dos perros juegan con una pequeña bola roja .	3.8	NEUTRAL
489	No hay perro jugando con una pelota roja .	Dos daschunds están jugando con una bola roja .	3.0	CONTRADICTION
491	El perro blanco y negro está corriendo y una persona está detrás de él .	El perro , que es blanco y negro , corre y una persona se para detrás de él .	4.9	ENTAILMENT
494	Un perrito está corriendo y la persona que lo posee está tratando de atraparlo .	Un perrito corre a toda velocidad y su dueño intenta atraparlo	4.8	ENTAILMENT
496	El perro blanco y negro está corriendo y una persona está detrás de él .	Un perrito está corriendo y la persona que lo posee está tratando de atraparlo .	3.0	NEUTRAL
497	El perro blanco y negro está corriendo y una persona está detrás de él .	Un perrito se desacelera y el dueño deja de perseguirlo	2.9	NEUTRAL
499	El perro blanco y negro no está corriendo y no hay ninguna persona detrás .	Un perrito corre a toda velocidad y su dueño intenta atraparlo	2.7	NEUTRAL
500	Una persona negra corre a lo largo de un soporte blanco y un perro ladra detrás de él .	Un perrito corre a toda velocidad y su dueño intenta atraparlo	2.5	NEUTRAL
505	Un hombre vestido con una camisa negra teñida está sentado a la mesa y riendo	Un hombre que está sentado a la mesa y riendo lleva una camisa negra	4.7	ENTAILMENT
506	Un hombre vestido con una camisa negra teñida está sentado a la mesa y riendo	No hay ningún hombre con camisa teñida de negro , sentado a la mesa y riendo	3.7	CONTRADICTION
507	Un hombre riendo tiñe una camisa de negro sobre la mesa en la que no puedes sentarte	Un hombre vestido con una camisa negra teñida está sentado a la mesa y riendo	3.6	NEUTRAL
508	Un hombre que está sentado a la mesa y riendo lleva una camisa negra	Un hombre está sentado cómodamente en una mesa .	3.5	NEUTRAL
513	Un hombre está sentado y mesas una discusión cómoda .	Un hombre vestido con una camisa negra teñida está sentado a la mesa y riendo	2.4	NEUTRAL
514	Un hombre está sentado cómodamente en una mesa .	Un hombre vestido con una camisa negra teñida está sentado a la mesa y riendo	3.9	NEUTRAL
515	Una mujer que viste una boa rosa va en bicicleta por un puente construido para peatones .	Una mujer que lleva un pañuelo rosa está montando una bicicleta por un puente construido para peatones	4.3	ENTAILMENT
516	Una mujer que despega una boa rosa detiene su bicicleta en un puente construido para peatones	Una mujer que viste una boa rosa va en bicicleta por un puente construido para peatones .	3.7	NEUTRAL
522	Una mujer que viste una boa rosa va en bicicleta por un puente construido para peatones .	La mujer que usa pantalones plateados , pantalones de campana rosas y una bufanda rosa no está montando una bicicleta	2.6	NEUTRAL
524	Una mujer que lleva un pañuelo rosa está montando una bicicleta por un puente construido para peatones	La mujer con pantalones plateados , pantalones de campana rosas y una bufanda rosa está montando una bicicleta	3.7	NEUTRAL
