pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgement
619	Un niño está trepando por una pared construida artificialmente para escalar y está atado a una cuerda	Un niño , que parece asustado , está en un muro de escalada .	3.5	NEUTRAL
630	Un hombre no está tirando a un niño a la piscina que está cerca del océano	El hombre lanza a un niño a la piscina que está cerca del océano .	3.5	CONTRADICTION
647	Un hombre está escalando un acantilado con una cuerda .	Una persona con equipo de escalada rosa amarró la roca .	3.3	NEUTRAL
651	Una persona está escalando una roca con una cuerda , que es rosa .	Un hombre está escalando un acantilado con una cuerda .	4.6	NEUTRAL
687	Un perro blanco está mirando la calle negra .	Dos perros de diferentes razas se miran al otro lado de una calle	3.4	NEUTRAL
717	Algunos hombres en una competencia corren afuera	Algunos hombres en una competencia corren adentro	3.9	CONTRADICTION
718	Algunos hombres en una competencia corren afuera	Algunos hombres están organizando competencias afuera	3.9	NEUTRAL
765	El niño se desliza felizmente en la nieve .	Un niño en una colina cubierta de nieve lleva una chaqueta roja y un sombrero negro y se desliza de rodillas .	4.0	NEUTRAL
780	Una mujer , que es vieja , está cerca de un perro blanco .	Una mujer y un perro están sentados en el tocón de un árbol	3.1	NEUTRAL
816	Un grupo de personas está equipado con equipo de protección .	Un grupo de personas está equipado con equipo utilizado para protección .	5.0	ENTAILMENT
860	Un perro blanco y uno negro corren uno al lado del otro en la hierba	Un perro , que tiene un abrigo negro , y un perro blanco corren sobre la hierba .	4.2	ENTAILMENT
873	No hay mucha gente en un parque de patinaje sobre hielo .	Una pista de patinaje sobre hielo colocada al aire libre está llena de gente	3.5	NEUTRAL
882	La chica del uniforme azul y blanco está animando	La niña anima al hombre del uniforme azul y blanco .	3.1	NEUTRAL
913	Una mujer está siendo besada por un hombre .	No hay mujer besada por un hombre	4.2	CONTRADICTION
933	La chica de la camisa roja está soplando una burbuja .	La joven está soplando una burbuja enorme .	3.8	NEUTRAL
947	Algunos corndogs están siendo devorados por dos niños pequeños que están en una carreta , que es realmente pequeña	Dos niños pequeños comen corndogs en un carro , que es realmente pequeño	4.8	ENTAILMENT
980	Un hombre se sube a un caballo en una pista tendida en la naturaleza	Un caballo arroja al vaquero con pantalones de color azul y rojo .	2.1	NEUTRAL
987	Un adulto está en el anfiteatro y está hablando con un niño .	No hay ningún adulto en el anfiteatro hablando con un niño .	4.3	CONTRADICTION
988	Se da una charla sobre un adulto y un niño en el anfiteatro	Un adulto está en el anfiteatro y está hablando con un niño .	3.1	NEUTRAL
1039	El snowboarder no está saltando sobre la nieve blanca	Una persona que está practicando snowboard salta al aire .	3.3	NEUTRAL
1102	Una mujer monta un caballo	Un hombre abre un pequeño paquete que contiene auriculares .	1.0	NEUTRAL
1137	Un pez está cazando una tortuga en el mar .	La tortuga sigue al pez	3.5	NEUTRAL
1170	Una mujer está cortando una papa	Una mujer está cortando una zanahoria	3.0	NEUTRAL
1177	Una mujer se está peinando	Una mujer arregla su cabello	4.1	NEUTRAL
1178	Una mujer se está peinando	No hay mujer peinándose	3.6	CONTRADICTION
1190	Un hombre y una mujer están caminando por una zona boscosa .	Un hombre y una mujer caminan juntos por el bosque .	4.3	ENTAILMENT
1192	Un hombre y una mujer caminan juntos por el bosque .	Un hombre y una mujer caminan por una zona boscosa .	4.6	ENTAILMENT
1232	Un hombre está cortando un bollo	Un hombre está cortando un tomate	3.6	NEUTRAL
1236	Una mujer baila y canta sola	Una mujer baila y canta con otras mujeres .	3.285	CONTRADICTION
1237	Algunas mujeres bailan y cantan	Una mujer baila y canta bajo la lluvia .	3.8	NEUTRAL
1241	Una mujer baila y canta con otras mujeres .	Una mujer baila y canta bajo la lluvia .	4.1	NEUTRAL
1266	Una banda toca en un escenario .	Una banda está tocando en el escenario	5.0	ENTAILMENT
1302	Un hombre toca la flauta	Un hombre está jugando con una pelota .	1.5	NEUTRAL
1333	La mujer mide a la otra mujer	Una mujer está siendo medida por otra mujer	4.9	ENTAILMENT
1390	Una persona está parada cerca de una motocicleta .	Una persona está cortando una cebolla	1.2	NEUTRAL
1396	Un hombre esta gritando	Un hombre tiene miedo	3.6	NEUTRAL
1400	Un hombre triste esta llorando	Un hombre esta gritando	2.9	NEUTRAL
1410	Una mujer está cortando camarones	Un hombre corta mantequilla en un recipiente pequeño	1.4	NEUTRAL
1412	Los hombres están aserrando troncos	Los hombres están cortando madera	4.5	ENTAILMENT
1443	Un hombre esta hablando por la radio	Un hombre esta escupiendo	1.7	NEUTRAL
1469	Tres jóvenes corren , saltan y patean cerca de una máquina expendedora	No hay ningún hombre corriendo , saltando y pateando cerca de una máquina expendedora .	3.8	CONTRADICTION
1470	Tres hombres están saltando de una pared	Tres jóvenes corren furiosamente , saltan y patean cerca de una máquina expendedora	2.5	NEUTRAL
1487	El hombre no revuelve la salsa para el pollo	El hombre está revolviendo la salsa para el pollo .	4.0	CONTRADICTION
1493	Un hombre está tocando una guitarra eléctrica .	Un hombre toca la guitarra	4.9	ENTAILMENT
1495	Un hombre esta tocando una guitarra	Un hombre toca una guitarra	4.9	ENTAILMENT
1503	Tres chicos con trajes de kárate no están peleando	Tres chicos con trajes de karate están peleando .	3.3	CONTRADICTION
1506	Tres hombres están practicando karate al aire libre	Tres chicos con trajes de karate están peleando .	3.8	NEUTRAL
1525	Una mujer está plantando flores .	Una mujer está cortando brócoli	1.2	NEUTRAL
1584	El tejón está cavando un agujero	Un tejón está cavando astutamente la tierra	4.5	ENTAILMENT
1608	Una serpiente está siendo alimentada con un ratón por un hombre .	Ninguna serpiente está siendo alimentada por un ratón por un hombre	4.7	CONTRADICTION
1628	Una persona está mezclando algunos ingredientes en un bol	Algunos ingredientes están siendo separados en un recipiente por una persona .	4.6	NEUTRAL
1676	Un barco navega pacíficamente sobre el agua	La guitarra la toca el hombre	1.1	NEUTRAL
1690	La leche la bebe un gato	El gato bebe un poco de leche	5.0	ENTAILMENT
1703	Un hombre está vaciando completamente un recipiente de plástico	Un hombre está vaciando un recipiente de plástico .	4.7	ENTAILMENT
1711	Un hombre está vaciando un recipiente de plástico .	Un hombre sostiene descuidadamente una rana .	1.1	NEUTRAL
1754	Una flauta está siendo tocada de una manera encantadora por una niña .	Una flauta está siendo tocada por una niña .	4.6	ENTAILMENT
1807	El adulto toca la guitarra en voz alta .	Un hombre toca una flauta	2.4	NEUTRAL
1811	Un hombre toca la guitarra en voz alta .	Una flauta no la toca un hombre	2.4	NEUTRAL
1839	La niña , que es pequeña , se peina cuidadosamente en una cola de caballo .	La niña , que es pequeña , se peina en una cola de caballo .	4.6	ENTAILMENT
1847	Un hombre está sentado en la silla	La niña , que es pequeña , se despeina	1.0	NEUTRAL
1861	El micrófono frente al loro parlante está silenciado .	El loro está hablando por el micrófono .	4.0	NEUTRAL
1877	Los gatitos en las bandejas se comen como alimento para un anuncio .	Los gatitos comen la comida de las bandejas	3.5	NEUTRAL
1881	Los gatitos comen la comida de las bandejas	Algunos gatitos están comiendo	4.2	ENTAILMENT
1964	Una persona toca la guitarra y canta .	Una persona toca una guitarra y canta .	4.9	ENTAILMENT
2001	El caballo está siendo montado por un hombre .	Un hombre esta montando el caballo	5.0	ENTAILMENT
2019	Un hombre lanza cuchillos peligrosamente a un árbol	Algunos hombres peligrosos con cuchillos arrojan una bicicleta contra un árbol	3.3	NEUTRAL
2058	Una dama corta un poco de carne con precisión	Una mujer está cortando algo de carne en pedazos	4.8	ENTAILMENT
2089	El hombre niega una entrevista	El hombre concede una entrevista	3.2	CONTRADICTION
2096	El hombre concede una entrevista	El coche blanco de un hombre está siendo conducido	1.1	NEUTRAL
2130	Un niño regaña a un perro	Un niño pequeño está jugando con un perro .	3.4	NEUTRAL
2157	La imagen de una cámara instalada está siendo tomada por un hombre en la playa al atardecer .	Un hombre está tomando fotografías de un lago .	3.0	NEUTRAL
2166	Una mujer está cosiendo con una máquina .	Una mujer está utilizando una máquina para coser	4.8	ENTAILMENT
2221	Alguien se cae de un caballo	El hombre no se cae de un caballo	3.9	NEUTRAL
2229	Una mujer golpea sus dedos sobre una mesa	Una mujer descansa sus dedos sobre una mesa	4.1	NEUTRAL
2231	Una mujer golpea sus dedos	Una mujer descansa sus dedos sobre una mesa	3.1	NEUTRAL
2284	El gato juega apasionadamente con una sandía	El gato está jugando con una sandía .	4.7	ENTAILMENT
2286	El gato juega apasionadamente con una sandía	Un gato está jugando con una sandía .	4.5	ENTAILMENT
2362	Una persona está quemando algunas cámaras con un soplete .	La persona alta está prendiendo fuego a las cámaras	3.8	NEUTRAL
2364	Algunas cámaras están siendo quemadas por una persona con un soplete	La persona está prendiendo fuego a las cámaras .	4.2	ENTAILMENT
2366	Una persona junto a algunas cámaras está soplando una antorcha encendida	La persona está prendiendo fuego a las cámaras .	3.3	NEUTRAL
2385	Una persona está cortando una cebolla en trozos	Una persona está cortando una zanahoria en trozos	3.4	NEUTRAL
2392	El hombre no esta cortando la papa	El hombre está cortando una papa	2.7	CONTRADICTION
2402	Alguien esta cortando un tomate	La mujer sostiene un tomate entero	3.5	NEUTRAL
2404	La dama está cortando un tomate	No hay nadie cortando un tomate	3.0	CONTRADICTION
2405	La dama está cortando un tomate	Alguien esta cortando un tomate	4.7	ENTAILMENT
2410	Un hombre está preparando un plato	La mujer corta una cebolla con un cuchillo	1.3	NEUTRAL
2430	Un hombre corre por la calle	Un hombre esta corriendo	4.4	ENTAILMENT
2476	Algunas personas estan cantando	Un grupo de personas esta cantando	4.7	ENTAILMENT
2485	El hombre esta tocando una guitarra	Un hombre toca una trompeta	2.2	NEUTRAL
2525	Algunas personas están flotando en una balsa .	La gente está montando y remando en una balsa .	3.8	NEUTRAL
2527	La gente está montando y remando en una balsa .	Cuatro personas están flotando en una balsa .	4.2	NEUTRAL
2535	No hay gato comiendo mazorcas de maíz	Un gato está comiendo maíz .	2.5	NEUTRAL
2544	La persona está cortando una verdura .	Nadie está cortando un tomate	3.1	NEUTRAL
2557	Alguien está rasgueando la guitarra	Alguien esta tocando la guitarra	4.5	ENTAILMENT
2566	Tres mujeres bailan	Algunas mujeres estan bailando	4.6	ENTAILMENT
2604	Un perro toro está siendo cepillado por el mono .	El mono está cepillando a un perro toro	4.8	ENTAILMENT
2606	El mono está cepillando a un perro toro	Un toro está cepillando al mono .	3.9	NEUTRAL
2662	La dama no está rompiendo un huevo para la batidora	La dama está cortando la carne	2.335	NEUTRAL
2668	Algunos hurones están saliendo de la jaula .	Los hurones bajan de un estante	3.1	NEUTRAL
2678	Un hombre se mete apresuradamente en un coche en un garaje .	Un hombre se esta subiendo a un auto	4.1	ENTAILMENT
2679	Un hombre estaciona un auto en un garaje .	Un hombre se esta subiendo a un auto	3.4	NEUTRAL
2687	La persona está cortando un diente de ajo en trozos .	La persona no está cortando un diente de ajo en trozos .	3.0	CONTRADICTION
2704	Una mujer hierve los fideos en agua	Una mujer está hirviendo fideos en agua .	5.0	ENTAILMENT
2712	No hay ningún practicante de kárate pateando a otro hombre que lleva guantes de boxeo protectores .	Un practicante de karate patea a otro hombre que lleva guantes de boxeo protectores .	4.3	CONTRADICTION
2720	El hombre está kick boxing con un entrenador .	No hay ningún practicante de kárate pateando a otro hombre que lleva guantes de boxeo protectores .	3.0	NEUTRAL
2721	El hombre está kick boxing con un entrenador .	Un practicante de karate patea a otro hombre que lleva guantes de boxeo protectores .	4.0	NEUTRAL
2722	Una mujer , que está sentada , canta una canción y toca la guitarra .	Una mujer sentada canta una canción y toca la guitarra .	5.0	ENTAILMENT
2726	Una mujer sobre una roca está acostada sobre una manta y leyendo un libro	Una mujer está meciéndose sobre una manta acostada sobre alguien leyendo un libro	2.7	NEUTRAL
2738	La mujer no toca la guitarra eléctrica .	Un hombre está tocando una guitarra acústica .	3.0	NEUTRAL
2766	Un hombre y una mujer estan hablando	Un hombre y una mujer están comiendo felices .	2.6	NEUTRAL
2772	Una persona está vertiendo aceite para cocinar en una olla .	Una persona está vertiendo aceite de cocina en una olla .	5.0	ENTAILMENT
2791	Un conejillo de indias , que es pequeño , está royendo y comiendo un trozo de zanahoria en el suelo	Un pequeño conejillo de indias está royendo y comiendo un trozo de zanahoria en el suelo	4.8	ENTAILMENT
2795	Un pequeño conejillo de indias está royendo y comiendo un trozo de zanahoria en el suelo	Un conejillo de indias está devorando una zanahoria	4.5	ENTAILMENT
2812	Un avion esta aterrizando	Un avión animado está despegando .	2.7	NEUTRAL
2822	Una mujer está sacando una mezcla de un recipiente .	Una mujer está preparando un huevo en una sartén	2.7	NEUTRAL
2829	La dama está dibujando sombra de ojos	La mujer está pintando sombra de ojos	5.0	ENTAILMENT
2842	Una niña está tocando un piano de cola en el escenario .	Una niña está practicando el piano	3.8	NEUTRAL
2886	Una mujer toca una flauta	La mujer no toca la flauta	3.2	CONTRADICTION
2898	El hombre está levantando pesas	El hombre esta levantando pesas	4.3	ENTAILMENT
2911	Una mujer se está maquillando	No hay mujer maquillándose	4.0	CONTRADICTION
2932	La mujer corta una zanahoria	Una mujer está cortando una cebolla	2.4	NEUTRAL
2936	Dos hombres están peleando en un corral de ganado	Dos hombres están fuera de un corral de ganado	3.0	NEUTRAL
2965	A una gran bola verde le falta una papa	Una gran bola verde está golpeando una papa	3.3	NEUTRAL
2967	Una gran bola verde está golpeando una papa .	Una gran bola de color verde está golpeando una papa .	4.8	ENTAILMENT
2968	A una bola verde grande le falta una papa	Una gran bola verde está golpeando una papa .	3.5	NEUTRAL
2972	Una gran bola verde está golpeando una papa .	A una gran bola verde le falta una papa	3.4	CONTRADICTION
2996	Un hombre esta tocando una guitarra	Un hombre está poniendo una guitarra	3.3	NEUTRAL
3002	Una mujer está tocando una guitarra eléctrica .	Un hombre está poniendo una guitarra	2.3	NEUTRAL
3036	El cachorro no juega con un recipiente de plástico .	El cachorro está jugando con un recipiente de plástico .	3.2	CONTRADICTION
3061	Una mujer conduce un automóvil y habla con el hombre que está sentado a su lado .	No hay ninguna mujer conduciendo un coche y hablando con el hombre sentado a su lado .	4.7	CONTRADICTION
3107	Un hombre está tumbando a un guitarrista sentado	Un hombre está sentado en el suelo de una habitación y rasguea una guitarra	2.3	NEUTRAL
3122	Una mujer usa un lápiz para los ojos y se aplica delineador de ojos en el párpado .	Una mujer se está aplicando cosméticos en el párpado .	4.6	ENTAILMENT
3123	No hay ninguna mujer que use un lápiz de ojos y se aplique delineador de ojos en el párpado .	Una mujer se está aplicando cosméticos en el párpado .	3.1	CONTRADICTION
3143	Un mono patea el guante de una persona .	El mono practica artes marciales .	3.6	NEUTRAL
3174	Un niño tira un instrumento .	Un niño está tocando un instrumento de viento .	2.8	NEUTRAL
3181	Un hombre camina en el bosque .	El hombre no camina por el bosque	3.8	NEUTRAL
3222	No hay ningún niño cruzando un puente	Un niño cruza un puente .	3.7	CONTRADICTION
3250	Una mujer coloca dos huevos en una olla con agua .	Una mujer pone dos huevos en una olla con agua .	4.9	ENTAILMENT
3275	Un niño entra y sale corriendo de las olas del océano .	Un niño entra y sale corriendo de las olas del océano .	4.9	ENTAILMENT
3291	Una mujer guarda zanahorias	Una mujer está cubriendo una chuleta de cerdo	1.7	NEUTRAL
3292	Una mujer está rallando zanahorias	Un cocinero está cubriendo una chuleta de cerdo	2.1	NEUTRAL
3322	La mujer está cortando pan y cerdo frito .	Una mujer está cocinando una chuleta de cerdo empanizada	3.2	NEUTRAL
3338	No hay ningún hombre parado en una azotea y tocando un violín	Un hombre está parado en una azotea y toca un violín	3.4	CONTRADICTION
3364	Una mujer está limpiando un camarón .	La mujer está limpiando un camarón	4.9	ENTAILMENT
3373	Una mujer está montando una moto de agua .	Una mujer está montando una scooter para el agua .	4.1	ENTAILMENT
3384	Un oso panda está comiendo bambú .	Un oso panda se está comiendo bambú	4.8	ENTAILMENT
3398	Alguien está batiendo un huevo	La mujer no está revolviendo huevos en un bol	3.2	NEUTRAL
3420	Una mujer está deshuesando un pez	Un pez grande atrapa a un hombre	1.9	NEUTRAL
3433	Una persona está untando con mantequilla una bandeja	Una persona está untando con mantequilla una bandeja	5.0	ENTAILMENT
3459	El hombre está cortando el tronco de un árbol con un hacha .	Un hombre corta un tronco con un hacha .	4.4	NEUTRAL
3485	El gato está mirando por la ventana a la mesa en la percha .	El gato posado sobre la mesa está mirando por la ventana .	4.1	NEUTRAL
3501	Un perro está lamiendo a un bebé	El perro está lamiendo al bebé	4.8	ENTAILMENT
3505	Una mujer guarda el ajo	Una mujer está cortando ajo	3.6	NEUTRAL
3518	El hombre no esta bailando	Una mujer esta bailando	3.3	NEUTRAL
3536	Alguien está cocinando quimbombó en una sartén	La okra se cocina en una sartén	4.9	ENTAILMENT
3586	Un hombre toca el tambor	Un hombre está practicando el tambor	4.6	ENTAILMENT
3598	Un hombre está haciendo ejercicios de suelo .	Un hombre esta haciendo ejercicios	4.3	ENTAILMENT
3625	Una mujer está poniendo carne en una sartén .	No hay mujer poniendo carne en una sartén	3.4	CONTRADICTION
3626	Alguien deja caer la carne en una sartén	La carne se deja caer en una sartén .	4.7	ENTAILMENT
3657	Un niño está llenando una jarra con agua .	Un niño llena una jarra de agua	5.0	ENTAILMENT
3661	Una mujer está recogiendo el agua de un grifo en una taza .	Un niño está llenando una jarra con agua .	2.7	NEUTRAL
3670	Está lloviendo sobre un hombre que camina	Un hombre camina bajo la lluvia	4.9	ENTAILMENT
3680	Los corredores corren por una pista	No hay corredores corriendo por una pista	3.7	CONTRADICTION
3711	Un tren de juguete golpea un carro de juguete	A un tren de juguete le falta un carro de juguete	3.8	CONTRADICTION
3721	La persona está cortando cebollas	La persona corta las cebollas	4.9	ENTAILMENT
3733	Los nadadores corren en un lago	Algunos corredores están nadando en un lago .	4.3	ENTAILMENT
3747	Un hombre talentoso toca la guitarra .	Una mujer está tocando una guitarra	3.2	NEUTRAL
3790	Una persona está fregando un calabacín	La persona está fregando un calabacín .	5.0	ENTAILMENT
3812	Una mujer está cortando un pimiento verde .	Una mujer está cortando un pimiento verde	4.8	ENTAILMENT
3855	Un hombre se detiene en medio de una carretera .	Un hombre camina por un camino	3.2	NEUTRAL
3861	Un hombre del desierto está en un sendero	Un hombre camina por un camino	3.4	NEUTRAL
3862	El hombre camina por un sendero a través del desierto	Un hombre camina perezosamente por un camino	3.285	NEUTRAL
3880	Un hombre baila en el techo de una habitación .	El hombre baila boca abajo en el techo	4.4	ENTAILMENT
3897	No hay hombre haciendo ejercicio	Un hombre está haciendo ejercicio	3.4	CONTRADICTION
3909	El hombre canta y toca la guitarra .	La guitarra la toca un hombre	4.3	ENTAILMENT
3910	Un hombre está empacando la guitarra	El hombre canta y toca la guitarra .	3.4	NEUTRAL
3922	Los chicos no bailan delante de algunas personas .	Los chicos bailan frente a algunas personas	3.8	CONTRADICTION
3941	Un niño está mirando un calendario .	No hay ningún chico revisando un calendario	3.9	CONTRADICTION
3982	Una mujer está pelando una papa	Una mujer está refrigerando una papa .	3.7	NEUTRAL
3996	No hay hombre cantando y tocando la guitarra	Un niño está tocando un piano	2.2	NEUTRAL
4001	Un hombre está trepando imprudentemente por una cuerda	Un hombre esta trepando una cuerda	4.3	ENTAILMENT
4006	Un hombre esta trepando una cuerda	El hombre está trepando por una cuerda	4.8	ENTAILMENT
4011	Un hombre esta trepando una cuerda	Un hombre está trepando por una cuerda	4.8	ENTAILMENT
4015	La dama está recogiendo el canguro	La mujer está recogiendo el canguro	4.9	ENTAILMENT
4031	Un hombre rompe baldosas con las manos .	No hay hombre rompiendo tablas de madera con la mano	2.9	NEUTRAL
4054	Un perro corre sin aliento por la carretera	Un perro corre en la carretera	4.5	ENTAILMENT
4060	Un hombre corre en la carretera	Un perro corre sin aliento por la carretera	2.6	NEUTRAL
4066	El hombre lanza cuchillos a un árbol	El hombre lanza cuchillos a un árbol .	4.6	ENTAILMENT
4067	El hombre está quitando cuchillos de un árbol	El hombre lanza cuchillos a un árbol .	3.3	NEUTRAL
4079	Un hombre está montando un caballo	Un hombre esta montando un caballo	4.7	ENTAILMENT
4086	No hay hombre haciendo un dibujo	Un hombre esta haciendo un dibujo	3.9	CONTRADICTION
4114	No hay hombre comiendo comida	Un hombre está comiendo una pizza	3.2	CONTRADICTION
4135	Un perro rebota en un trampolín	Un perro está saltando en un trampolín .	4.7	ENTAILMENT
4140	Varios niños están saltando en un trampolín .	Un hombre está haciendo volteretas en un trampolín	3.4	NEUTRAL
4155	Un hombre toca una flauta de madera .	No hay hombre tocando una flauta de madera	3.7	CONTRADICTION
4157	No hay hombre tocando el piano	Un hombre esta tocando el piano	4.0	CONTRADICTION
4164	El hombre borra el dibujo en la pizarra	La mujer borra el dibujo en la pizarra	3.7	NEUTRAL
4187	No hay perro jugando con un juguete .	Un perro se come una muñeca .	3.8	CONTRADICTION
4191	Un perro se come una muñeca .	Un perro está jugando con un juguete .	3.6	NEUTRAL
4196	Un hombre esta bailando	Un hombre esta rezando fervientemente	1.7	NEUTRAL
4288	La mujer está cortando pulpo cocido	Una mujer está cortando un pulpo .	4.4	ENTAILMENT
4321	Un hombre esta dibujando	No hay ningún hombre dibujando	3.8	CONTRADICTION
4330	El hombre esta dibujando	No hay ningún hombre dibujando	3.4	CONTRADICTION
4342	Un hombre esta comiendo un banano	Un hombre esta comiendo una fruta	4.6	ENTAILMENT
4360	Un hombre esta cortando una nota	Un hombre esta cortando un papel	4.4	ENTAILMENT
4376	Un hombre esta tocando una guitarra	No hay nadie tocando el piano	2.7	NEUTRAL
4411	Dos hombres en una carrera están volteando los neumáticos de un tractor	Dos hombres compiten en una carrera de rodadura de neumáticos	3.7	NEUTRAL
4429	Los hombres estan hablando	Algunas ancianas estan hablando	3.0	NEUTRAL
4477	Un hombre está golpeando una pelota de fútbol	Un hombre está mezclando el contenido de un cuenco .	1.2	NEUTRAL
4505	Los doctores estan curando a un hombre	El doctor esta ayudando al paciente	4.2	ENTAILMENT
4638	Un hombre está tocando un teclado	Un hombre toca un arpa	2.4	NEUTRAL
4650	Un hombre corta una cuerda gruesa con una espada .	No hay hombre cortando una cuerda con una espada	3.6	CONTRADICTION
4661	Una mujer está cortando una papa	Una mujer está cortando una papa	4.8	ENTAILMENT
4707	Un grupo de hombres está jugando al fútbol en la playa .	Un grupo de niños está jugando al fútbol en la playa .	4.4	NEUTRAL
4734	Un hombre está ajustando un silenciador a una pistola	Un hombre aplica un silenciador a una pistola .	4.8	ENTAILMENT
4755	La niña está sentada en el sofá y está tejiendo	No hay niña tocando el violín en la playa	1.4	NEUTRAL
4767	Un hombre está cocinando una serpiente	No hay hombre cocinando una serpiente	3.7	CONTRADICTION
4776	No hay niño tocando la guitarra	Un niño está tocando la guitarra	3.8	CONTRADICTION
4803	No hay mono molestando a un perro en el zoológico	Un mono se burla de un perro en el zoológico .	2.935	CONTRADICTION
4814	Un mono tira de la cola de un perro	Un mono se burla de un perro en el zoológico .	4.4	NEUTRAL
4816	No hay nadie cortando un poco de jengibre	Una persona está cortando un poco de jengibre	3.8	CONTRADICTION
4823	Una persona está cortando un poco de jengibre	Una persona está cortando una cebolla	3.0	NEUTRAL
4831	Un hombre está cortando una papa en pedazos	Un hombre no corta una papa	4.0	CONTRADICTION
4843	Un hombre abre una caja con un cuchillo .	No hay hombre abriendo una caja con un cuchillo	3.8	CONTRADICTION
4851	Algunos instrumentos están siendo tocados por una banda .	Una banda toca algunos instrumentos .	5.0	ENTAILMENT
4852	Una banda no toca algunos instrumentos .	Una banda toca algunos instrumentos .	3.8	CONTRADICTION
4866	Una persona esta bailando	Una mujer está haciendo ejercicio	3.0	NEUTRAL
4891	Un hombre está haciendo dominadas	El hombre está haciendo ejercicios en un gimnasio .	4.0	NEUTRAL
4916	Un hombre canta y toca la guitarra .	Un hombre está cantando y tocando un instrumento musical .	4.5	ENTAILMENT
4934	Los reclutas están hablando con un oficial	Un oficial está hablando con los reclutas .	3.7	NEUTRAL
4963	El ajo está siendo picado por una mujer	Una mujer está cortando ajo	4.7	ENTAILMENT
4966	Una mujer está cortando un pescado	No hay mujer cortando pescado	2.7	CONTRADICTION
5003	Un gato grande abre un cajón de plástico con sus patas y salta dentro	Un gato abre un cajón y salta dentro	4.4	ENTAILMENT
5030	El hombre esta hablando por telefono	El hombre esta hablando por telefono	4.9	ENTAILMENT
5047	Un hombre esta cortando cebollas	Una mujer está cortando una cebolla	3.5	NEUTRAL
